x,y,z,label
2.408217567841963,2.643863606554977,1.4835192176889918,1
3.4871357374921716,2.6392672915723643,3.572125149777318,3
4.065507508573551,2.022456875674576,4.478236698486569,2
3.01930304726121,2.0841116057652798,4.5772247713066285,3
2.404929799662332,-0.5054267470127651,2.0588127255721784,3
5.125718710299163,1.8324138122236857,0.13935573791939193,2
3.979123625012795,1.7168967093015493,1.3742263200160374,2
1.9437437648019835,1.729270526331234,1.5296838913720554,1
3.2954581609847695,2.5956235989222787,2.112052426718604,1
6.18504431607068,3.173715567557271,1.8522359160689754,2
3.0255365957278038,1.5190044323160243,4.102848597793949,3
2.9315947499630535,0.6504757653590927,3.937956869370051,3
3.156123121371967,2.1631714187624254,1.6105054093094266,2
1.5048904405397974,2.13785309425243,2.4326481174248413,1
2.388359679306859,3.4468656863417273,2.6242761346926655,1
4.203074639561137,1.7956049838774717,3.1183256322990727,3
3.4327410641461418,1.6614844203585801,3.1410129997759695,1
3.4774859921029,1.5355562372595735,2.3029266329540046,2
2.313962955742292,5.637496419555393,1.170392590278097,3
2.706180918265842,1.129770324380008,2.677195861681998,1
3.1742731688618,3.907073454529051,2.2296309801431953,3
3.0350241079703046,2.9068952396063685,4.660882131659633,3
2.8838704666991557,3.182008027930297,1.0454677000547674,1
4.933533420136463,2.2940737272754887,2.7756941228841314,2
3.510346141142577,2.712749902793899,1.04692395332316,3
1.6289400821217086,2.1094551286099974,1.378804616833648,1
3.595744330353385,1.2259219613195804,2.524446873089806,2
1.0592740516566952,4.089438975398422,2.0044365098693833,3
0.06797861098999691,2.9806197143580304,4.459397937053086,3
5.567084086450844,2.78520713919502,2.9132014208222055,2
2.5549317052078773,3.582617249034908,0.7055407922003816,1
3.9204003789664927,1.112815479842594,2.8810988778211146,2
4.273439376763176,3.620336785360811,2.1598820405634864,2
3.8469905664669284,1.8489406988625245,1.2842456705083456,2
2.0155610196785556,1.9858378802609573,1.5920899185458368,2
2.577805260913915,2.149782930102875,2.716266494158342,3
2.7816814342278664,3.4292658446772664,0.45468437382799,3
